J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID
0.0000000, -89.9999771, 90.0000076, 0.0000000, 0.0000009, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000
0.0000000, -89.9999771, 90.0000076, 0.0000000, 0.0000009, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 2.0000000
2.3066813, -85.2721909, 90.0000076, 0.0000000, 0.0000008, -0.0000000, 0.0000000, 74.0839137, 4.7277862, 2.0000000
4.6133626, -80.5444048, 90.0000076, 0.0000000, 0.0000007, -0.0000000, 0.0000000, 74.7351939, 4.7277862, 2.0000000
6.9200439, -75.8166186, 90.0000076, 0.0000000, 0.0000006, -0.0000000, 0.0000000, 75.3530782, 4.7277862, 2.0000000
9.2267253, -71.0888324, 90.0000076, 0.0000000, 0.0000005, -0.0000000, 0.0000000, 75.9222258, 4.7277862, 2.0000000
11.5334066, -66.3610463, 90.0000076, 0.0000000, 0.0000004, -0.0000000, 0.0000000, 76.4288049, 4.7277862, 2.0000000
13.8400879, -61.6332601, 90.0000076, 0.0000000, 0.0000003, -0.0000000, 0.0000000, 76.8607381, 4.7277862, 2.0000000
16.1467692, -56.9054739, 90.0000076, 0.0000000, 0.0000002, -0.0000000, 0.0000000, 77.2078974, 4.7277862, 2.0000000
18.4534505, -52.1776878, 90.0000076, 0.0000000, 0.0000001, -0.0000000, 0.0000000, 77.4622532, 4.7277862, 2.0000000
20.7601318, -47.4499016, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 77.6179836, 4.7277862, 2.0000000
20.7601318, -47.4499016, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 3.0000000
16.2324339, -46.1747273, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.9318178, 4.5276980, 3.0000000
11.7047359, -44.8995530, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.9610752, 4.5276980, 3.0000000
7.1770379, -43.6243787, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.9585732, 4.5276980, 3.0000000
2.6493399, -42.3492045, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.9243132, 4.5276980, 3.0000000
-1.8783580, -41.0740302, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.8583155, 4.5276980, 3.0000000
-6.4060560, -39.7988559, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 70.7606197, 4.5276980, 3.0000000
-10.9337540, -38.5236816, 90.0000076, 0.0000000, -0.0000000, -0.0000000, 0.0000000, 70.6312838, 4.5276980, 3.0000000
-10.9337540, -38.5236816, 90.0000076, 0.0000000, -0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 4.0000000
-10.9337540, -38.5236816, 90.0000076, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 4.0000000
